EThree,Position,Utah,Distance,Height,Weight,Score,BYU,LDS,Alumni,Poly
0,RB,0,343.39,72,185,77,0,0,0,1
0,RB,0,343.39,69,175,77,0,0,0,0
0,WR,0,343.39,73,180,77,0,1,0,0
0,DL,1,7.63,76,270,76,1,1,0,0
0,DL,1,19.93,77,225,76,1,1,0,1
0,QB,1,34.93,77,200,76,1,0,0,1
0,QB,0,483.1,74,190,76,1,1,1,0
0,TE,1,11.24,77,210,76,1,1,0,0
0,DL,0,2937.76,74,225,76,0,0,0,0
0,DL,1,21.16,77,210,76,0,1,0,0
0,LB,1,38.63,73,215,76,0,1,1,0
0,OL,1,38.22,76,300,76,0,0,0,1
0,WR,0,708.59,73,170,76,0,0,0,0
0,DB,0,941.07,73,170,75,1,0,0,0
0,DL,1,33.94,77,200,75,1,1,0,1
0,LB,0,554.47,74,195,75,1,1,0,0
0,WR,1,1.77,74,175,75,1,1,1,1
0,DB,1,30.04,73,190,75,0,1,0,0
0,LB,0,350.78,74,215,75,0,0,0,1
0,RB,0,337.91,73,205,75,0,0,0,0
0,OL,0,597.5,78,280,74,1,1,0,1
0,TE,1,29.18,74,230,74,1,1,1,1
0,CB,0,584.47,72,170,74,0,0,0,0
0,DL,1,14.74,76,220,74,0,0,1,0
0,DB,0,486.03,73,190,73,1,0,0,0
0,CB,0,1568.79,71,165,73,0,0,0,0
0,OL,0,941.69,76,300,73,0,0,0,0
0,RB,0,950.11,72,185,73,0,0,0,0
0,CB,0,1543.84,71,170,72,0,0,0,0
0,ST,0,471.33,74,205,69,1,1,0,0
1,OL,0,950.11,78,290,92,0,0,0,1
1,OL,0,343.39,74,275,90,0,0,0,1
1,OL,0,984.3,79,320,90,0,0,0,0
1,OL,0,343.39,78,285,90,0,1,0,1
1,WR,1,21.16,75,220,86,0,0,0,0
1,QB,0,548.43,73,200,85,0,0,0,0
1,CB,0,528.46,73,165,84,0,0,0,0
1,OL,1,10.22,80,290,84,0,1,0,0
1,DL,1,11.24,76,235,83,1,1,1,0
1,LB,0,713.42,74,220,83,0,0,1,0
1,CB,0,541.7,75,190,82,0,0,0,0
1,LB,0,574.65,75,190,82,0,0,1,1
1,RB,0,1548.3,70,195,82,0,0,0,0
1,WR,0,1742.23,75,205,82,0,0,1,0
1,WR,0,343.39,79,205,82,0,0,0,0
1,WR,0,457.51,73,190,82,0,0,0,0
1,WR,0,1555.62,77,200,82,0,0,0,0
1,WR,0,605.41,73,180,81,0,0,0,0
0,LB,0,494.42,73,230,80,1,1,1,0
